year,plot,tag,trt,clipping_exp,rosetteL,rosetteW,psurvival,psurvivalT1,pflower,pflowerT1,ros.area,ros.areaT1,log.ros.area,log.ros.areaT1,flow.sum,flow.sumT1,total.seeds,total.seedsT1,percapseeds,life_st
2021,2,1081,control,NA,6,2,1,0,0,0,9.424777961,NA,2.243342175,NA,0,0,NA,NA,NA,V
2022,2,1081,control,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,dead
2023,2,1081,control,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,dead
2021,7,1082,drought,NA,4,5,1,1,0,0,15.70796327,127.2345025,2.754167798,4.84603186,0,0,NA,NA,NA,V
2022,7,1082,drought,NA,18,9,1,1,0,1,127.2345025,163.362818,4.84603186,5.095973604,0,6,NA,23,NA,V
2023,7,1082,drought,NA,16,13,1,NA,1,NA,163.362818,NA,5.095973604,NA,6,NA,23,NA,3,F
2019,1,1083,irrigated,NA,10,3,1,NA,0,NA,23.5619449,NA,3.159632906,NA,0,0,NA,NA,NA,V
2020,1,1083,irrigated,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA
2021,1,1083,irrigated,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,dead
2022,1,1083,irrigated,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,dead
2021,5,1085,drought,NA,4.5,2,1,1,0,0,7.068583471,70.68583471,1.955660102,4.258245195,0,0,NA,NA,NA,V
2022,5,1085,drought,NA,10,9,1,1,0,1,70.68583471,104.4579557,4.258245195,4.648784653,0,5,NA,37,NA,V
2023,5,1085,drought,NA,14,9.5,1,NA,1,NA,104.4579557,NA,4.648784653,NA,5,NA,37,NA,7,F
2021,6,1087,irrigated,NA,10,6,1,1,1,0,47.1238898,90.32078879,3.852780087,4.503367653,3,0,NA,NA,NA,F
2022,6,1087,irrigated,NA,10,11.5,1,1,0,0,90.32078879,113.0973355,4.503367653,4.728248824,0,0,NA,NA,NA,V
